time,Q,LH,Chapman,CM,Boughton,Furey,Eckhardt,EWMA,Willems,UKIH,Fixed,Local,Slide
2001-01-01,0.793,0.7587708621899062,0.7587708621899062,0.7587708621899062,0.7587708621899062,0.7587708621899062,0.7587708621899062,0.7587708621899062,0.7587708621899062,0.7587708621899062,0.765,0.7587708621899062,0.793
2001-01-02,0.821,0.7559529591242229,0.7526514022392174,0.7527976972526546,0.7545148084767357,0.753350600587965,0.7545222523798699,0.7598785408429258,0.7539278379349287,0.7559529591242229,0.765,0.7559529591242229,0.793
2001-01-03,0.821,0.7527820672964571,0.7467579220079125,0.7469269775763796,0.7504370657412104,0.7490930440960077,0.7504520974379584,0.7609665028159217,0.7497552185605648,0.7527820672964571,0.765,0.7527820672964571,0.765
2001-01-04,0.821,0.7491963366887374,0.7409659556357046,0.741156946130829,0.7465301634937896,0.7450144634376427,0.7465529017029127,0.7620350990657982,0.7457574220193485,0.7491963366887374,0.765,0.7491963366887374,0.765
2001-01-05,0.765,0.7465795164371486,0.7350326077475751,0.7350056503214133,0.7409089119475362,0.7411073349666022,0.7409333923992619,0.762087874302427,0.7409921362969929,0.7465795164371486,0.765,0.765,0.765
2001-01-06,0.793,0.7450433961482686,0.7290808870189607,0.7291999677304336,0.7364621836391987,0.7354947465350986,0.7364919659975024,0.7626381101398437,0.7359590110423794,0.793,0.793,0.769,0.765
2001-01-07,0.821,0.7432156478629931,0.7234728301506289,0.7237339707739825,0.7331407709222263,0.7310529480985849,0.7331791393400138,0.7636769517793545,0.7320717491249521,0.7869285714285714,0.793,0.773,0.765
2001-01-08,0.821,0.7409574541931007,0.7180819441996816,0.7183617206821473,0.7299585116061835,0.7277327229019315,0.7300054617385024,0.7646973020376819,0.728814847918116,0.7808571428571429,0.793,0.777,0.793
2001-01-09,0.906,0.7380832923392473,0.7131499414614549,0.7138105236175963,0.7297601604519394,0.7245520707381685,0.729824870930719,0.7672124900614111,0.7271135803623934,0.7747857142857143,0.793,0.781,0.821
2001-01-10,0.906,0.7343172383442138,0.7086689177767813,0.7093373837598916,0.7295701193874201,0.7243430690924687,0.7296518655003246,0.7696829077383179,0.7269027691056639,0.7687142857142857,0.793,0.785,0.793
2001-01-11,0.821,0.7296363905283004,0.7038990522818248,0.7042120483488539,0.7265374555438292,0.7241428532946682,0.7266263444055403,0.7705963519805759,0.725281613107024,0.7626428571428572,0.793,0.789,0.793
2001-01-12,0.793,0.7244245485120998,0.698724746800277,0.6989345042947521,0.7226928315824368,0.7211131092648692,0.7227858586589906,0.7709951369153216,0.721841708782089,0.7565714285714286,0.793,0.793,0.793
2001-01-13,0.878,0.7187351537968647,0.6938850205711101,0.6944763889724641,0.7218598661110648,0.7172758748602648,0.7219664677287709,0.7728998234782288,0.7194976118273306,0.7505,0.793,0.793,0.793
2001-01-14,0.821,0.7122931350168807,0.689249230938488,0.6896059332617802,0.7191502298635178,0.7164378918650091,0.7192637573196301,0.7737560066203163,0.7177192206394498,0.7444285714285714,0.793,0.793,0.793
2001-01-15,0.793,0.7054580133628441,0.6843272653039028,0.684578897487237,0.7156150999832425,0.7137320429842875,0.715732523202724,0.7740985497024746,0.7145961625825155,0.7383571428571428,0.793,0.793,0.793
2001-01-16,0.793,0.6983600144463179,0.6793695059991107,0.6796380799901517,0.712228077365595,0.7102050880775269,0.7123496119365446,0.7744349955177705,0.7111364595578439,0.7322857142857143,0.708,0.793,0.793
2001-01-17,0.85,0.6905998466987221,0.6747425959879636,0.6752708032058627,0.7108945255018756,0.7068263965457027,0.7110265299531537,0.7757800525975541,0.708773393421805,0.7262142857142857,0.708,0.77175,0.736
2001-01-18,0.793,0.6822104761607807,0.6701953834513972,0.6704896280688777,0.707705275353174,0.705492828168836,0.7078412850866432,0.7760865676613177,0.7065093341396755,0.7201428571428571,0.708,0.7505,0.708
2001-01-19,0.736,0.6755383526062494,0.6652355895883286,0.6653016533158302,0.7027380729719862,0.7023122269375994,0.7028720939882454,0.736,0.7024367664478635,0.7140714285714286,0.708,0.72925,0.708
2001-01-20,0.708,0.6717711920067562,0.6599952006226139,0.659962544241926,0.6970399596046993,0.6973622369761302,0.6971695784426857,0.708,0.6971156524290779,0.708,0.708,0.708,0.708
2001-01-21,0.736,0.6687911535208174,0.6548450761672056,0.654955118638501,0.6925195896664671,0.6916854784381388,0.6926486323201655,0.7084984,0.6920174804389806,0.736,0.736,0.7126666666666667,0.708
2001-01-22,0.736,0.6654449801576404,0.6499042348473251,0.6500335749801006,0.6881886044581573,0.6871822074279408,0.688317580040612,0.7089879284799999,0.6876004034130926,0.7243529411764705,0.736,0.7173333333333333,0.708
2001-01-23,0.765,0.6616256681602869,0.6451733780017197,0.6454451286209638,0.6850116219766482,0.6828682414062883,0.6851441359470212,0.7099849433530558,0.6838525812941637,0.7127058823529412,0.736,0.722,0.736
2001-01-24,0.765,0.6572218163071514,0.6406488886954889,0.6409353783282637,0.6819677418689383,0.6797038624905716,0.6821039864068358,0.7109642113613714,0.6807459738924627,0.7010588235294117,0.736,0.7266666666666667,0.736
2001-01-25,0.765,0.652162556580208,0.6362023326904472,0.6365029743922319,0.6790513876982627,0.6766725052635422,0.6791915326329201,0.711926048399139,0.6777695259562474,0.6894117647058824,0.736,0.7313333333333333,0.736
2001-01-26,0.736,0.6464612110486848,0.6317074879990062,0.6318979019434409,0.6752846642267452,0.6737685778633743,0.6754257205277775,0.7123545647376343,0.6744335942340057,0.6777647058823529,0.736,0.736,0.736
