time,Q,LH,Chapman,CM,Boughton,Furey,Eckhardt,EWMA,Willems,UKIH,Fixed,Local,Slide
2001-01-19,0.747,0.47555455466655605,0.747,0.747,0.747,0.747,0.747,0.747,0.747,0.47555455466655605,0.693,0.747,0.691
2001-01-20,0.693,0.4557346536935741,0.693,0.693,0.693,0.693,0.693,0.693,0.693,0.4557346536935741,0.693,0.693,0.627
2001-01-21,0.691,0.4365780039930531,0.6784288291169447,0.6785594297473725,0.6785774492167923,0.6782954573140134,0.6785775989919076,0.691,0.678435316177761,0.4365780039930531,0.511,0.6868571428571428,0.59
2001-01-22,0.627,0.4185437881005979,0.627,0.627,0.627,0.627,0.627,0.627,0.627,0.4185437881005979,0.511,0.627,0.55
2001-01-23,0.59,0.4031419330817274,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.4031419330817274,0.511,0.59,0.511
2001-01-24,0.55,0.3896129006288945,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.3896129006288945,0.511,0.55,0.511
2001-01-25,0.511,0.37818962230150754,0.511,0.511,0.511,0.511,0.511,0.511,0.511,0.37818962230150754,0.511,0.511,0.492
2001-01-26,0.514,0.3674166524881163,0.5003025769957973,0.500444878146281,0.5004645119812873,0.5001572564032625,0.5004646751747661,0.5110426,0.5003096452328678,0.3674166524881163,0.428,0.514,0.459
2001-01-27,0.492,0.35654046890607166,0.48985489726798664,0.4898712691152232,0.4898931431452378,0.48984418066286406,0.48989332473044317,0.492,0.48986983672261336,0.35654046890607166,0.428,0.492,0.428
2001-01-28,0.459,0.34689510152007746,0.459,0.459,0.459,0.459,0.459,0.459,0.459,0.34689510152007746,0.428,0.459,0.428
2001-01-29,0.428,0.3390622719135973,0.428,0.428,0.428,0.428,0.428,0.428,0.428,0.3390622719135973,0.428,0.428,0.428
2001-01-30,0.447,0.3318222196363214,0.4192132060308953,0.4195018802398207,0.4195417097265772,0.4189184065373705,0.419542040783271,0.4282698,0.41922754476067986,0.3318222196363214,0.428,0.41288888888888886,0.428
2001-01-31,0.497,0.3238346335595367,0.41151974512856504,0.4123957948731027,0.41255645838215904,0.41063728379376696,0.41255779332963266,0.42924576884,0.41159191609132656,0.3238346335595367,0.335,0.3977777777777778,0.405
2001-02-01,0.435,0.31496428511926267,0.404023371317995,0.4042967835988388,0.40449501948789374,0.40379325675750133,0.40449666488193836,0.429327478922472,0.40415253363879083,0.31496428511926267,0.335,0.38266666666666665,0.373
2001-02-02,0.405,0.30646765420410155,0.39587597160969235,0.39591099761232573,0.3961138853999517,0.39590070744373185,0.3961155672527769,0.405,0.396020272675356,0.30646765420410155,0.335,0.3675555555555555,0.335
2001-02-03,0.373,0.29977584238281246,0.373,0.373,0.373,0.373,0.373,0.373,0.373,0.29977584238281246,0.335,0.35244444444444445,0.31
