,Station_0,Station_1,Station_2
2020-01-01,16.423027256828554,1.4135443307461153,2.138340448179768
2020-01-02,16.384576813016515,1.3924507908680142,2.105720319783235
2020-01-03,16.36751399110282,1.3871440438050482,2.0658573270151166
2020-01-04,16.34424932360376,1.3806076197830706,2.041849818707357
2020-01-05,16.324144886044337,1.3718774123918325,2.0378845708841165
2020-01-06,16.311081399407755,1.3601183886258028,2.035773540260176
2020-01-07,16.29420274144073,1.345389125750366,2.103663166749241
2020-01-08,16.269129047929887,1.3264098611787802,2.200827421381991
2020-01-09,16.254147359893782,1.3012281384730533,2.254641020859372
2020-01-10,16.26505504198927,1.2725701359755204,2.6148811842339708
2020-01-11,16.264001362657456,1.2425670944222114,2.5574683512706082
2020-01-12,17.619055113365942,1.2094938118556362,2.4202584102537887
2020-01-13,17.042797901366285,1.1920347468631598,2.3325340086713235
2020-01-14,15.799349157854184,1.203649896456176,2.366762338963892
2020-01-15,15.017217469730774,1.2454017888524558,2.4034221278693053
2020-01-16,15.0609056584601,1.294984401586738,2.4155863250991576
2020-01-17,15.128320540599347,1.3618278710244611,2.411441858754489
2020-01-18,15.223878857956548,1.4173580999961937,2.40209241595817
2020-01-19,15.31661984367738,1.4273571877904963,2.3879566182904233
2020-01-20,15.338236670869755,1.433603621712052,2.379083199473963
2020-01-21,15.414685917971642,1.455270875015053,2.3777215983944475
2020-01-22,15.406091695548712,1.4865915355076138,2.3750244292407117
2020-01-23,15.38749277879949,1.5479337667512085,2.3690185708519076
2020-01-24,15.376205400306953,1.6024597865410632,2.3649838398766194
2020-01-25,15.409525683148013,1.6027946068079184,2.383409340221804
2020-01-26,15.468051869824222,1.5995504037323718,2.4008052621837668
2020-01-27,15.46312456638663,1.5930497341625658,2.394215984089324
2020-01-28,15.45264231033397,1.5834162012976867,2.3831820518957914
2020-01-29,15.435233248600401,1.5703660678274285,2.368141720949061
2020-01-30,15.410893973600723,1.5532380081357193,2.348465112661061
2020-01-31,15.380411589576747,1.5432354762547624,2.3231571559067907
2020-02-01,15.340264683175109,1.5411988902821603,2.2910019641365986
2020-02-02,15.285974376786694,1.5356733440751715,2.2511703710301707
2020-02-03,15.230090878088054,1.526090424951429,2.202903001133086
2020-02-04,15.17532520430136,1.512718477742947,2.1455835271211146
2020-02-05,15.121341855135856,1.4945967770458306,2.079195162312037
2020-02-06,15.068885839128543,1.4841033464407145,2.004307039302919
2020-02-07,15.040580048815876,1.9522485702290888,1.9648350652473032
2020-02-08,15.064955727602767,2.825370759596286,2.0173000813449566
2020-02-09,15.169734786423414,2.9970455695912417,2.112394685134678
2020-02-10,15.345577732733538,2.925608421591747,2.197963099931702
2020-02-11,15.508886467059554,2.805209953088862,2.262812568766266
2020-02-12,15.621431005010706,2.6428016594254653,2.354090663406398
2020-02-13,15.616885068058167,2.442951005629466,2.439943424872701
2020-02-14,15.610187127025164,2.3340392886859846,2.5169966146052882
2020-02-15,15.60385428904683,2.3358732162065574,2.6232464003244838
2020-02-16,15.593097624147498,2.3400387350470164,2.7259765452355618
2020-02-17,15.57345482240412,5.558700389949159,2.846297127148996
2020-02-18,15.54072931611493,10.304847547188215,2.9919467696993634
2020-02-19,15.520751128116412,9.978200165862555,3.1407453389127182
2020-02-20,15.599952340955253,9.21447633452303,3.2650311455339684
2020-02-21,15.726957659521492,7.999908551712023,5.817016220630934
2020-02-22,15.809173679949339,6.3526502411608625,5.518092130772241
2020-02-23,15.924803202694665,4.80795959495105,4.742389026038567
2020-02-24,16.09801674476131,3.6360254116846757,4.2398382094713245
2020-02-25,16.272573084770364,3.074966014358949,4.257319778323543
2020-02-26,16.366442649372807,3.0561771805527798,4.309106421931995
2020-02-27,16.409303231484845,3.0348926241619814,4.356431113895675
2020-02-28,16.495291083869166,3.0224284620256388,4.384676663403772
2020-02-29,16.580173881135785,3.019563197091152,4.404771181250342
2020-03-01,16.572739676876612,3.0147071757381534,4.459465693416977
2020-03-02,16.559120501418366,3.006870515151396,4.468410712482927
2020-03-03,16.549200393806284,2.9951482018434046,4.461503681878616
2020-03-04,16.547231209204803,2.9791686556519634,4.4500318246915835
2020-03-05,16.623851045184956,2.9701405468561997,4.433664991509722
2020-03-06,16.793140990725856,2.9965818285179964,4.424202822407163
2020-03-07,16.919525676258747,3.053986347175096,5.927697359743987
2020-03-08,17.91604905316854,3.104836744870237,6.568133184060732
2020-03-09,18.026477583072044,3.1517948983126036,6.285879501303284
2020-03-10,17.82611337192853,3.1920597744009096,5.802585926567387
2020-03-11,17.502219463002582,3.2340125709901235,5.508656254708956
2020-03-12,17.06778212233507,3.8290883858038254,5.502526283835886
2020-03-13,16.532936481064738,4.944421523556397,5.5019018414538925
2020-03-14,15.908115478752071,5.88152500220319,5.534045650312875
2020-03-15,15.574263230317657,9.141901762769182,5.575741519345525
2020-03-16,15.704758672603443,11.194997042696924,5.643239822650419
